No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,5,6,7,8,9,10,11,12
1, 0.07 ,M,Fábio Vieira,ARS, 5.4 , -   , 0.058 , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   
2, 0.39 ,M,Saka,ARS, 10.0 , 84.60 , 0.061 , 5.17 ,100%, 3.57 , 6.70 , 6.51 , 4.94 , 4.54 , 4.65 , 4.61 , 5.66 
3, 0.07 ,M,Merino,ARS, 6.0 , 3.14 , 0.031 , 1.25 ,100%, -   , -   , -   , -   , -   , -   , 1.12 , 1.37 
4, 0.13 ,M,Jorginho,ARS, 4.9 , 31.13 , 0.034 , 1.02 ,100%, 0.82 , 1.32 , 1.28 , 0.97 , 0.89 , 0.91 , 0.91 , 1.11 
5, 0.19 ,M,Trossard,ARS, 6.9 , 47.44 , 0.056 , 2.28 ,100%, 2.31 , 3.75 , 2.87 , 2.18 , 2.00 , 2.05 , 2.04 , 2.50 
6, 0.18 ,M,Martinelli,ARS, 6.9 , 48.13 , 0.052 , 2.45 ,100%, 1.87 , 3.18 , 3.08 , 2.34 , 2.15 , 2.20 , 2.18 , 2.68 
7, 0.24 ,M,Odegaard,ARS, 8.3 , 54.98 , 0.052 , 4.21 ,100%, 0.36 , 2.36 , 4.91 , 4.03 , 3.70 , 3.79 , 3.76 , 4.61 
8, (1.00),M,Nelson (Reiss),ARS, 100.0 , -   , 0.047 , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   
9, 0.29 ,M,Rice,ARS, 6.3 , 83.50 , 0.037 , 3.08 ,100%, 2.13 , 4.00 , 3.88 , 2.95 , 2.71 , 2.77 , 2.75 , 3.38 
10, 0.14 ,M,Partey,ARS, 5.0 , 52.96 , 0.024 , 1.01 ,100%, 1.24 , 1.87 , 1.27 , 0.96 , 0.89 , 0.91 , 0.90 , 1.10 
11, 0.10 ,M,Sterling (Raheem),ARS, 6.8 , 21.00 , 0.062 , 1.30 ,100%, 0.90 , 1.69 , 1.64 , 1.24 , 1.14 , 1.17 , 1.16 , 1.42 
12, 0.25 ,M,Tielemans,AVL, 5.5 , 77.29 , 0.033 , 2.54 ,106%, 3.00 , 2.92 , 2.64 , 2.41 , 2.78 , 2.31 , 1.96 , 2.72 
13, 0.16 ,M,Ramsey (Jacob),AVL, 5.5 , 50.03 , 0.036 , 1.72 ,106%, 2.30 , 1.98 , 1.79 , 1.63 , 1.88 , 1.56 , 1.33 , 1.84 
14, 0.14 ,M,Kamara,AVL, 5.0 , 51.12 , 0.023 , 1.56 ,106%, 0.52 , 1.07 , 1.61 , 1.48 , 1.70 , 1.41 , 1.20 , 1.67 
15, 0.26 ,M,McGinn,AVL, 5.4 , 80.20 , 0.032 , 2.59 ,106%, 2.92 , 2.97 , 2.69 , 2.46 , 2.83 , 2.35 , 2.00 , 2.77 
16, 0.14 ,M,Barkley,AVL, 5.3 , 33.00 , 0.041 , 1.36 ,106%, 1.53 , 1.56 , 1.41 , 1.29 , 1.48 , 1.23 , 1.05 , 1.45 
17, 0.30 ,M,Bailey,AVL, 6.4 , 59.37 , 0.053 , 3.42 ,106%, 2.37 , 3.92 , 3.55 , 3.25 , 3.74 , 3.11 , 2.64 , 3.66 
18, 0.46 ,M,Rogers,AVL, 5.1 , 72.79 , 0.048 , 3.40 ,106%, 4.04 , 4.01 , 3.53 , 3.23 , 3.72 , 3.09 , 2.62 , 3.64 
19, 0.09 ,M,Buendía,AVL, 5.4 , 10.00 , 0.047 , 0.47 ,106%, 0.53 , 0.54 , 0.49 , 0.45 , 0.51 , 0.43 , 0.36 , 0.50 
20, 0.17 ,M,Mvom Onana,AVL, 5.1 , 52.00 , 0.036 , 1.85 ,106%, 2.09 , 2.13 , 1.92 , 1.76 , 2.03 , 1.68 , 1.43 , 1.99 
21, 0.09 ,M,Jaden,AVL, 5.3 , 10.00 , 0.045 , 0.45 ,106%, 0.50 , 0.51 , 0.46 , 0.42 , 0.49 , 0.41 , 0.34 , 0.48 
22, 0.13 ,M,Scott,BOU, 4.9 , 36.00 , 0.030 , 1.09 ,97%, 0.84 , 1.37 , 1.24 , 0.87 , 1.01 , 0.87 , 1.03 , 1.15 
23, 0.40 ,M,Semenyo,BOU, 5.6 , 70.74 , 0.052 , 3.62 ,97%, 3.02 , 4.56 , 4.14 , 2.91 , 3.36 , 2.89 , 3.42 , 3.82 
24, 0.09 ,M,Brooks (David),BOU, 4.9 , 6.00 , 0.049 , 0.30 ,97%, 0.23 , 0.37 , 0.34 , 0.24 , 0.28 , 0.24 , 0.28 , 0.31 
25, 0.12 ,M,Billing,BOU, 4.9 , 19.00 , 0.040 , 0.75 ,97%, 0.58 , 0.95 , 0.86 , 0.60 , 0.70 , 0.60 , 0.71 , 0.79 
26, 0.16 ,M,Sinisterra,BOU, 5.0 , 40.00 , 0.042 , 1.68 ,97%, 1.30 , 2.11 , 1.92 , 1.35 , 1.56 , 1.34 , 1.59 , 1.77 
27, 0.21 ,M,Christie,BOU, 4.9 , 67.00 , 0.033 , 2.19 ,97%, 1.69 , 2.76 , 2.51 , 1.76 , 2.03 , 1.75 , 2.07 , 2.31 
28, 0.27 ,M,Kluivert,BOU, 5.4 , 65.00 , 0.044 , 2.88 ,97%, 2.22 , 3.62 , 3.29 , 2.31 , 2.67 , 2.30 , 2.72 , 3.04 
29, 0.25 ,M,Cook,BOU, 5.0 , 89.50 , 0.028 , 2.53 ,97%, 1.95 , 3.18 , 2.89 , 2.03 , 2.35 , 2.01 , 2.39 , 2.67 
30, 0.13 ,M,Dango Ouattara,BOU, 5.0 , 25.59 , 0.044 , 1.54 ,97%, 0.34 , 1.11 , 1.51 , 1.23 , 1.43 , 1.23 , 1.45 , 1.62 
31, 0.37 ,M,Tavernier,BOU, 5.5 , 77.00 , 0.045 , 3.47 ,97%, 2.67 , 4.36 , 3.96 , 2.78 , 3.22 , 2.76 , 3.28 , 3.66 
32, 0.15 ,M,Carvalho,BRE, 4.9 , 28.00 , 0.046 , 1.30 ,105%, 1.18 , 1.45 , 1.46 , 1.19 , 1.69 , 1.23 , 1.42 , 1.22 
